mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000031355.17	6.12025	5.00437	7.50379	5.707	6.45907	5.20447	5.94663	4.9141	6.00881	3.6442	5.46649	4.53282	5.30683	5.18164	5.61949	5.30895	6.82873	4.41904	7.54727	4.5556	5.10333	4.74689
ENSMUSG00000031358.18	44.3757	35.2379	42.965	34.7921	43.7975	35.7685	35.397	36.6802	39.7453	30.4403	36.2847	33.5523	46.1582	38.7488	39.7926	35.8827	43.4433	32.0895	41.5485	35.8453	42.5506	32.6499
ENSMUSG00000049176.17	0	0.041098	0.017609	0.032689	0	0.02341	0.037994	0	0.020114	0.042523	0	0	0.032784	0	0	0.01562	0.019776	0.061852	0.03252	0.035937	0	0
ENSMUSG00000040522.6	121.588	144.234	148.93	163.32	144.609	162.781	127.841	110.722	121.452	115.313	134.449	115.637	136.136	126.6	125.677	152.124	151.015	141.197	146.307	129.153	154.557	137.056
ENSMUSG00000049775.17	3831.28	3642.52	3555.5	3913.6	3757.59	3759.78	3902.47	4567.82	3383.33	3945.4	3931.27	5477.19	3067.69	3859.28	3479.16	3220.75	3104.9	3401.03	3130.57	3069.72	3178.98	3581.08
ENSMUSG00000079316.11	42.67	28.8168	41.3792	27.6304	43.5138	24.1525	36.4159	22.0878	43.8916	33.245	31.4998	23.1393	47.5244	30.0785	37.9924	32.9894	41.3535	28.8427	46.5817	32.9745	33.7626	28.8816
ENSMUSG00000079317.11	12.3055	10.0881	11.6218	10.3929	9.95504	6.66794	10.1376	9.47463	9.53264	10.7565	6.53782	10.9211	10.5775	13.5322	11.2737	10.7466	9.42997	10.01	9.88753	10.8816	9.71479	7.91645
ENSMUSG00000040586.9	7.40234	8.38301	7.77235	8.77501	6.78975	8.57447	7.43329	6.5846	5.4708	7.61657	7.18513	5.37115	6.41032	8.95936	6.59046	9.47206	6.20616	8.74971	6.09187	8.67399	6.22737	8.33404
ENSMUSG00000040621.15	1.22723	1.94077	2.23217	1.78437	1.34374	1.84041	3.33467	1.08121	2.17151	2.10304	0.762123	0	1.53602	1.58969	3.07138	1.02439	3.6573	1.04117	2.04336	2.45435	1.76894	2.14892
ENSMUSG00000047757.18	1.55382	2.29505	1.93515	2.18025	1.86733	2.05925	1.53101	1.23055	1.69468	1.79681	1.86344	1.14143	1.40956	1.34989	0.869276	2.22345	1.61336	1.55854	1.1571	1.26894	1.35321	2.31432
ENSMUSG00000031382.15	0	0	0	0.104822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031381.17	3.83829	10.2606	6.51935	9.76704	7.75966	7.59318	4.07766	11.6462	3.84557	7.03963	4.15766	5.03019	10.8161	7.26783	8.58141	9.71589	7.40699	10.292	7.08471	7.27027	9.37382	9.59844
ENSMUSG00000031380.11	0	0.055524	0	0	0.143271	0.063374	0	0	0.108779	0	0	0	0	0.216771	0	0	0	0.202961	0	0.05858	0.124786	0.067002
ENSMUSG00000031377.12	32.7732	36.5693	30.6199	40.0521	21.8565	33.5262	31.6337	45.4162	29.4878	32.465	20.8872	26.2786	44.5256	45.3724	39.1424	50.48	36.402	42.0795	29.8678	28.8088	26.3225	31.3199
